Gold (grams),Monthly Income (PKR),Monthly Expenses (PKR),Marital Status,Employment Type,Region,Income (USD),Assets (USD),Liabilities (USD),Dependents,Net Worth (USD),Zakat Eligibility
48,26544,309745,Widowed,Freelancer,Rural,6145,16127,70090,9,-53963,1
118,294263,374082,Married,Unemployed,Urban,5414,287421,114832,7,172589,0
175,339248,169505,Widowed,Business,Urban,3460,91814,114489,1,-22675,1
62,469630,333029,Married,Freelancer,Urban,8595,19178,119998,1,-100820,1
47,364966,147216,Divorced,Freelancer,Rural,9290,464958,249277,8,215681,0
43,41958,150952,Widowed,Business,Urban,1203,390516,52060,6,338456,0
50,418755,298297,Married,Business,Urban,7935,306580,72453,3,234127,0
189,465210,54401,Married,Unemployed,Urban,9335,337492,296585,4,40907,0
124,402095,381662,Divorced,Salaried,Urban,8365,447894,79174,3,368720,0
40,424270,193880,Widowed,Salaried,Rural,6015,33657,49674,8,-16017,1
154,257876,233120,Married,Freelancer,Urban,5584,229603,226233,1,3370,1
97,474700,165846,Single,Salaried,Rural,7879,311310,260330,8,50980,0
56,81604,147771,Single,Salaried,Urban,107,24704,90149,1,-65445,1
169,119675,15098,Married,Business,Urban,5322,263261,121319,7,141942,0
11,128793,306556,Divorced,Salaried,Rural,5051,373491,125997,6,247494,0
81,310990,379816,Divorced,Salaried,Rural,6644,236946,167640,6,69306,0
59,242477,74564,Married,Salaried,Urban,8095,333600,275394,2,58206,0
63,57799,346930,Married,Salaried,Rural,1520,435578,48859,2,386719,0
3,321853,112120,Divorced,Unemployed,Urban,1356,324695,143619,3,181076,0
166,345329,17508,Divorced,Freelancer,Urban,3074,404293,11313,6,392980,0
146,188630,77918,Divorced,Unemployed,Urban,7801,390153,154564,3,235589,0
106,115583,330403,Married,Business,Rural,1906,326317,182286,3,144031,0
189,59448,99854,Divorced,Salaried,Urban,1861,238254,126313,9,111941,0
172,50868,33568,Married,Unemployed,Rural,146,435126,296378,0,138748,0
60,150085,37804,Widowed,Business,Urban,4705,393745,172051,5,221694,0
158,59240,308905,Single,Unemployed,Urban,3207,462278,11115,4,451163,0
176,464827,34960,Widowed,Freelancer,Urban,3011,31241,995,7,30246,0
158,450470,255852,Single,Business,Urban,1378,312411,22490,1,289921,0
41,496703,319556,Married,Freelancer,Rural,2940,335846,43772,6,292074,0
175,257020,294712,Married,Business,Rural,3224,11553,196360,3,-184807,1
19,360474,56857,Widowed,Salaried,Rural,1209,387369,183835,6,203534,0
111,308227,240724,Married,Business,Urban,4390,228961,28719,8,200242,0
95,426701,360180,Married,Salaried,Urban,7127,419418,110695,0,308723,0
19,440893,53526,Divorced,Salaried,Urban,7296,458537,192526,1,266011,0
15,485867,290303,Widowed,Salaried,Rural,9996,317552,163856,6,153696,0
56,382823,99641,Single,Business,Urban,4775,283014,75442,1,207572,0
18,168739,264899,Widowed,Freelancer,Urban,2101,432113,56545,4,375568,0
12,112962,217839,Married,Business,Urban,267,293646,192322,7,101324,0
19,308933,85656,Married,Business,Urban,3576,396262,123505,3,272757,0
106,109625,328469,Widowed,Salaried,Rural,3544,201634,155269,3,46365,0
75,251437,388656,Married,Business,Urban,3927,103220,127179,5,-23959,1
176,337809,363858,Married,Unemployed,Urban,8807,494592,129799,1,364793,0
153,18474,74128,Married,Salaried,Urban,2207,165261,61594,5,103667,0
34,57781,25949,Divorced,Freelancer,Rural,2911,475890,138856,1,337034,0
168,247455,43305,Married,Unemployed,Rural,8742,175208,19525,5,155683,0
137,54761,31645,Married,Business,Rural,4864,400627,299740,0,100887,0
75,73210,286983,Married,Freelancer,Urban,1737,347353,125419,3,221934,0
23,182480,309167,Married,Unemployed,Rural,9720,139669,203503,3,-63834,1
68,57186,161458,Married,Freelancer,Urban,6537,220115,67628,2,152487,0
158,116969,142423,Married,Unemployed,Rural,4401,417469,232871,0,184598,0
181,300630,145721,Married,Unemployed,Urban,2191,126563,92035,3,34528,0
57,308194,55033,Single,Freelancer,Urban,9530,26915,261287,4,-234372,1
97,445666,136267,Widowed,Freelancer,Urban,3990,114018,176063,6,-62045,1
59,433670,375792,Single,Salaried,Urban,5288,470253,173620,6,296633,0
108,257319,251893,Married,Business,Urban,881,166287,82322,1,83965,0
10,70772,203277,Widowed,Salaried,Urban,7666,115902,200938,3,-85036,1
72,242082,74142,Single,Freelancer,Rural,7391,470277,225631,4,244646,0
39,322465,206439,Widowed,Freelancer,Rural,8302,227477,184699,7,42778,0
182,131123,58506,Married,Business,Rural,6976,13446,111986,2,-98540,1
174,311832,48702,Widowed,Freelancer,Rural,5803,440286,110577,7,329709,0
188,486167,361466,Widowed,Salaried,Rural,3541,343952,19246,1,324706,0
73,472426,366313,Widowed,Unemployed,Urban,3576,13135,284669,6,-271534,1
33,408097,308953,Widowed,Unemployed,Urban,3826,46769,100866,0,-54097,1
61,125677,310304,Married,Salaried,Rural,6212,416698,190344,4,226354,0
78,305343,243470,Divorced,Unemployed,Rural,7506,38825,218542,1,-179717,1
172,72805,350204,Divorced,Unemployed,Urban,3914,434855,202684,5,232171,0
94,80241,119074,Widowed,Business,Rural,1916,235149,240971,1,-5822,1
4,266540,357626,Married,Freelancer,Urban,4052,46536,291464,1,-244928,1
50,389973,232082,Married,Business,Rural,8209,167411,258990,1,-91579,1
96,53721,118873,Divorced,Salaried,Rural,4020,220623,51358,3,169265,0
57,204899,200930,Married,Business,Urban,8291,159028,209191,2,-50163,1
122,383087,190924,Widowed,Salaried,Urban,4065,106119,280678,8,-174559,1
92,460311,156099,Widowed,Salaried,Urban,4546,192233,119088,7,73145,0
2,372873,273367,Divorced,Business,Rural,226,133466,104803,6,28663,0
22,165723,266536,Married,Salaried,Urban,4629,495731,64809,3,430922,0
9,36645,240013,Widowed,Unemployed,Rural,3413,120653,181218,3,-60565,1
46,171216,233753,Divorced,Unemployed,Urban,4891,2041,159317,8,-157276,1
31,395582,247310,Single,Unemployed,Rural,1636,307002,94478,8,212524,0
120,450630,338683,Divorced,Salaried,Rural,6508,323521,96689,7,226832,0
47,314106,8904,Married,Business,Rural,9619,50023,61119,9,-11096,1
154,374983,264913,Single,Salaried,Urban,4925,273991,179402,5,94589,0
35,28616,138006,Widowed,Unemployed,Urban,5264,486854,238217,4,248637,0
87,374306,390940,Married,Freelancer,Rural,2421,399550,110558,6,288992,0
53,199805,321311,Widowed,Unemployed,Rural,2854,37198,145171,5,-107973,1
19,335888,272472,Divorced,Unemployed,Urban,262,30422,145667,7,-115245,1
130,311131,54391,Married,Business,Urban,7261,342364,69615,6,272749,0
196,320226,396691,Single,Unemployed,Rural,3580,244186,71154,9,173032,0
130,91182,212033,Single,Salaried,Rural,7408,42938,175588,7,-132650,1
167,17450,115483,Widowed,Unemployed,Rural,4764,51693,39158,1,12535,0
59,421416,377701,Widowed,Freelancer,Urban,5024,294282,278232,6,16050,0
197,16660,54710,Divorced,Business,Urban,4537,345672,53621,7,292051,0
122,145109,309120,Widowed,Salaried,Rural,4405,296609,197919,1,98690,0
197,360764,208273,Married,Unemployed,Urban,6868,498848,187315,7,311533,0
22,87944,322984,Single,Business,Rural,2716,6249,271948,8,-265699,1
187,236601,60453,Married,Business,Urban,3598,151964,182637,1,-30673,1
29,414414,260074,Divorced,Freelancer,Rural,6868,330317,144285,3,186032,0
166,107318,134873,Single,Unemployed,Urban,397,16761,174236,3,-157475,1
167,115048,368453,Widowed,Business,Urban,1511,181726,80736,0,100990,0
47,73597,264800,Single,Unemployed,Rural,8700,144435,181563,5,-37128,1
44,349934,299409,Divorced,Salaried,Rural,2949,123580,280606,2,-157026,1
36,302203,282908,Widowed,Salaried,Rural,1691,133370,20045,7,113325,0
149,398907,164774,Single,Business,Urban,7761,414181,70115,6,344066,0
51,254633,274653,Single,Salaried,Rural,8360,246642,297440,0,-50798,1
1,127093,204640,Single,Freelancer,Rural,2703,348710,157983,9,190727,0
13,446460,290979,Widowed,Unemployed,Urban,8234,282220,69608,9,212612,0
17,145635,329608,Divorced,Salaried,Rural,2239,400446,104281,8,296165,0
113,385934,180529,Single,Salaried,Urban,9133,168952,106262,6,62690,0
177,452661,230915,Married,Unemployed,Rural,257,29439,261728,0,-232289,1
14,309243,398226,Widowed,Freelancer,Rural,5599,106586,255609,7,-149023,1
36,191622,23704,Widowed,Unemployed,Rural,5414,270289,96584,9,173705,0
129,42335,260804,Single,Business,Rural,6527,121034,141004,9,-19970,1
118,22998,76316,Single,Unemployed,Urban,2762,234018,7352,7,226666,0
106,132511,381215,Single,Freelancer,Rural,7123,226321,259532,0,-33211,1
83,343522,382690,Divorced,Unemployed,Urban,3384,124486,269999,7,-145513,1
73,118190,142995,Widowed,Freelancer,Rural,1294,395538,111411,0,284127,0
68,247621,193423,Married,Freelancer,Rural,5009,124073,79076,9,44997,0
31,392266,94859,Divorced,Salaried,Urban,5176,367866,99979,0,267887,0
193,492241,288095,Divorced,Unemployed,Rural,9726,189375,227396,9,-38021,1
56,140371,21473,Widowed,Freelancer,Urban,9152,490331,36909,1,453422,0
60,10288,303452,Single,Unemployed,Urban,1134,61190,236192,8,-175002,1
4,35876,307083,Divorced,Salaried,Urban,426,310401,273016,1,37385,0
84,281167,180558,Single,Business,Urban,5452,496045,10250,9,485795,0
145,368465,195834,Widowed,Unemployed,Urban,6822,273951,152228,2,121723,0
47,196248,269564,Married,Freelancer,Urban,5636,75669,10518,1,65151,0
39,333584,353542,Married,Freelancer,Rural,914,486621,75619,5,411002,0
67,258814,56869,Married,Salaried,Rural,211,487373,289738,7,197635,0
95,87409,331260,Single,Business,Urban,2828,385858,16598,1,369260,0
55,97665,292017,Divorced,Freelancer,Rural,5484,477000,84536,6,392464,0
131,270998,314481,Married,Business,Rural,4847,403251,201037,9,202214,0
144,140171,397982,Divorced,Freelancer,Rural,5359,254205,207731,2,46474,0
51,85532,289550,Married,Freelancer,Urban,9925,301838,85744,0,216094,0
124,246222,310630,Single,Business,Rural,2838,178373,81776,8,96597,0
190,37687,282944,Single,Freelancer,Rural,8261,478699,143259,8,335440,0
169,136975,327419,Single,Business,Rural,2945,405208,260053,9,145155,0
160,222645,120469,Married,Salaried,Urban,8716,183533,107330,6,76203,0
17,220763,366469,Divorced,Business,Urban,8166,163503,227679,8,-64176,1
154,444942,336662,Single,Salaried,Rural,4122,44455,256589,1,-212134,1
127,83957,137716,Divorced,Business,Rural,4061,446523,50018,0,396505,0
188,174157,371832,Divorced,Salaried,Rural,2506,132585,131221,3,1364,1
24,214288,228209,Married,Business,Urban,589,225940,206485,0,19455,0
60,48981,111737,Divorced,Salaried,Urban,4500,341570,217540,1,124030,0
137,167223,253919,Single,Unemployed,Urban,9388,460219,278404,7,181815,0
79,187371,44276,Widowed,Freelancer,Rural,9533,132802,108354,6,24448,0
131,334779,294192,Widowed,Unemployed,Rural,5154,235558,44162,1,191396,0
127,108836,62688,Single,Salaried,Rural,2774,292095,153096,7,138999,0
158,448394,280705,Divorced,Business,Rural,8969,215005,123784,4,91221,0
31,196084,311823,Widowed,Unemployed,Rural,6660,307778,257704,4,50074,0
151,364582,34187,Widowed,Unemployed,Rural,3825,443673,182943,3,260730,0
58,377055,248949,Single,Salaried,Urban,621,262601,64502,0,198099,0
145,8134,198151,Widowed,Salaried,Rural,3855,15684,274578,2,-258894,1
116,286751,357920,Married,Salaried,Rural,6115,189436,207580,9,-18144,1
91,84023,230877,Single,Salaried,Urban,9724,160057,210502,1,-50445,1
199,459755,281459,Divorced,Salaried,Urban,2615,303885,196624,7,107261,0
192,49834,64429,Widowed,Unemployed,Rural,8878,454921,291558,3,163363,0
117,379645,334499,Divorced,Salaried,Urban,8342,347272,65520,2,281752,0
129,432544,169064,Divorced,Business,Rural,4485,343781,250508,8,93273,0
148,115775,266913,Divorced,Salaried,Rural,8359,243330,34767,0,208563,0
123,359662,376482,Married,Freelancer,Urban,6300,444106,208245,3,235861,0
115,446590,119456,Widowed,Freelancer,Urban,6087,144834,206496,1,-61662,1
169,232860,268105,Widowed,Freelancer,Rural,3352,108645,91332,0,17313,0
126,255510,63125,Widowed,Business,Urban,3991,165669,123734,6,41935,0
103,193129,269724,Divorced,Unemployed,Rural,3071,381734,163490,0,218244,0
152,60240,195260,Single,Freelancer,Urban,429,242088,149774,4,92314,0
52,174090,246044,Widowed,Unemployed,Urban,6547,182826,272676,2,-89850,1
136,133888,273986,Widowed,Freelancer,Rural,7980,493420,132911,2,360509,0
169,6033,357307,Married,Salaried,Urban,9705,296909,199911,5,96998,0
27,113721,214300,Single,Unemployed,Rural,4488,54338,135290,2,-80952,1
164,464470,115700,Widowed,Unemployed,Urban,8096,58629,89046,7,-30417,1
60,384388,126003,Divorced,Business,Urban,4423,474925,33859,0,441066,0
58,393221,236162,Married,Unemployed,Urban,1292,412649,6961,7,405688,0
159,355031,281027,Married,Salaried,Urban,5655,258125,216156,6,41969,0
168,186291,295656,Single,Unemployed,Rural,6021,135183,105566,0,29617,0
74,205427,351782,Widowed,Freelancer,Rural,3436,244376,79818,6,164558,0
113,250120,61651,Widowed,Unemployed,Rural,8332,310571,106113,4,204458,0
125,272950,125102,Widowed,Business,Rural,8009,408697,128094,3,280603,0
151,381057,295057,Single,Business,Urban,3537,372095,2227,3,369868,0
64,85950,354521,Divorced,Freelancer,Rural,6877,384240,144663,1,239577,0
115,266792,228207,Married,Salaried,Rural,5359,234522,277642,3,-43120,1
87,137039,56440,Widowed,Unemployed,Rural,8954,440277,149678,9,290599,0
9,240791,385725,Widowed,Unemployed,Urban,8905,256821,269247,8,-12426,1
91,437687,321368,Widowed,Business,Rural,9737,263223,12731,2,250492,0
49,481450,377935,Divorced,Unemployed,Rural,9182,97226,212055,8,-114829,1
96,393146,225241,Married,Freelancer,Rural,5646,352356,289105,6,63251,0
62,441155,330695,Widowed,Freelancer,Urban,6589,187306,276570,0,-89264,1
85,48853,237575,Single,Business,Rural,6432,402106,285117,7,116989,0
192,471536,313131,Widowed,Freelancer,Rural,8323,26834,273113,0,-246279,1
98,166114,75562,Divorced,Freelancer,Rural,3327,470994,6798,0,464196,0
57,482611,89649,Widowed,Freelancer,Urban,7396,457588,132791,0,324797,0
45,343863,230130,Married,Salaried,Rural,1387,405327,269349,4,135978,0
88,166152,136821,Single,Business,Rural,9338,482653,89449,9,393204,0
27,62318,370321,Single,Freelancer,Rural,4838,48711,217691,2,-168980,1
119,465650,79225,Divorced,Freelancer,Rural,4751,461917,252142,2,209775,0
58,91365,305780,Divorced,Freelancer,Rural,4889,429495,117939,1,311556,0
3,457898,256425,Married,Freelancer,Urban,6761,420615,75432,3,345183,0
110,25990,121041,Widowed,Salaried,Urban,425,385524,93892,5,291632,0
123,234257,174282,Divorced,Unemployed,Rural,3604,214962,104884,8,110078,0
168,285926,55603,Single,Unemployed,Urban,5725,351844,100213,2,251631,0
112,285075,346533,Divorced,Business,Urban,9888,232220,148617,1,83603,0
59,131567,100151,Widowed,Salaried,Urban,5900,148365,71077,4,77288,0
61,216490,196840,Widowed,Business,Urban,9782,486129,116553,9,369576,0
10,222313,55207,Widowed,Unemployed,Urban,1456,197347,104366,4,92981,0
19,112174,385194,Widowed,Business,Urban,6152,66403,281648,8,-215245,1
134,492039,306824,Divorced,Unemployed,Urban,9356,383462,284916,6,98546,0
94,434407,87509,Widowed,Business,Rural,5567,144523,59249,0,85274,0
61,351827,250755,Widowed,Salaried,Urban,9741,42764,199233,7,-156469,1
134,351540,324080,Married,Salaried,Urban,9607,240779,199213,9,41566,0
118,194211,361484,Married,Freelancer,Urban,1706,129485,153148,6,-23663,1
63,448090,360667,Single,Salaried,Rural,3638,248585,267352,4,-18767,1
185,363295,398943,Widowed,Business,Rural,6100,99499,258799,4,-159300,1
131,53019,319187,Single,Unemployed,Urban,2314,370362,59013,1,311349,0
199,210269,392216,Divorced,Business,Urban,5842,215431,187109,2,28322,0
141,152978,216677,Married,Unemployed,Urban,9599,179863,116064,5,63799,0
85,172195,398991,Married,Freelancer,Urban,2319,341668,106440,0,235228,0
150,226164,367630,Widowed,Freelancer,Rural,7568,164522,8835,0,155687,0
88,398959,381181,Single,Salaried,Rural,9589,125551,223831,5,-98280,1
35,168859,271374,Married,Freelancer,Urban,9513,459608,76750,8,382858,0
89,275276,373865,Divorced,Freelancer,Rural,9769,398599,44576,4,354023,0
23,232058,82438,Married,Salaried,Urban,8422,488639,5966,3,482673,0
81,78662,307671,Single,Business,Urban,3690,320460,44647,7,275813,0
20,282875,183409,Married,Unemployed,Rural,7247,173634,48078,4,125556,0
62,405697,249335,Married,Unemployed,Urban,8245,385736,60869,9,324867,0
46,50863,236704,Single,Unemployed,Urban,1188,98727,193999,2,-95272,1
68,330382,392275,Divorced,Business,Rural,766,199753,294144,3,-94391,1
14,151261,287018,Widowed,Freelancer,Urban,9394,440814,159415,1,281399,0
158,108844,300824,Divorced,Unemployed,Urban,2190,238381,31267,1,207114,0
3,445063,177023,Single,Freelancer,Rural,6907,462290,11336,0,450954,0
126,278384,178311,Widowed,Freelancer,Urban,2177,272475,174288,1,98187,0
131,380196,145198,Married,Freelancer,Rural,5647,73105,295077,4,-221972,1
171,277459,277726,Married,Freelancer,Urban,6965,23249,120491,9,-97242,1
113,157924,255383,Single,Business,Urban,712,470087,237287,0,232800,0
188,388395,284295,Divorced,Salaried,Rural,7094,301800,86395,4,215405,0
190,154141,302820,Divorced,Salaried,Urban,8027,231,32583,8,-32352,1
82,188569,162884,Divorced,Salaried,Urban,5050,2183,200432,2,-198249,1
153,403776,107339,Widowed,Freelancer,Urban,2793,278714,254356,7,24358,0
177,337885,296945,Divorced,Freelancer,Rural,4501,75811,156807,1,-80996,1
160,322985,3914,Divorced,Salaried,Rural,4481,413535,138281,2,275254,0
131,72016,308354,Divorced,Freelancer,Urban,987,473108,180982,7,292126,0
184,230609,102162,Widowed,Freelancer,Urban,8109,387564,198671,0,188893,0
61,249818,282247,Divorced,Business,Rural,2433,375042,96921,9,278121,0
101,45549,185152,Widowed,Business,Rural,868,143959,291221,2,-147262,1
87,35216,228612,Widowed,Business,Rural,1536,483343,31583,0,451760,0
161,380602,85066,Single,Salaried,Rural,3906,301778,254173,3,47605,0
125,113059,222101,Married,Salaried,Urban,3316,102966,65084,7,37882,0
33,46181,344302,Divorced,Unemployed,Urban,6317,254613,296275,2,-41662,1
129,127648,206514,Married,Business,Rural,7629,145685,93635,4,52050,0
42,348249,394017,Widowed,Unemployed,Urban,1341,110192,67811,7,42381,0
71,63803,254942,Widowed,Salaried,Rural,6320,437758,175142,5,262616,0
176,456583,41544,Single,Unemployed,Urban,2519,81740,257924,0,-176184,1
20,216481,92053,Widowed,Freelancer,Urban,433,369035,81654,8,287381,0
139,492570,275433,Single,Freelancer,Rural,5425,260027,57695,7,202332,0
35,107243,104359,Married,Salaried,Rural,6091,392155,274859,0,117296,0
122,271307,175098,Widowed,Freelancer,Urban,2920,84423,223059,5,-138636,1
0,367800,115531,Single,Freelancer,Urban,2083,17928,192565,2,-174637,1
169,287649,5180,Widowed,Unemployed,Rural,7643,121294,190947,5,-69653,1
102,367284,350488,Single,Freelancer,Rural,9627,342979,109397,0,233582,0
143,447690,42293,Single,Business,Urban,7012,214551,201251,0,13300,0
48,455548,51038,Married,Salaried,Rural,1898,433535,235685,3,197850,0
5,482812,317001,Divorced,Business,Urban,1859,302508,101721,0,200787,0
123,102379,159520,Married,Business,Urban,4740,230661,252883,1,-22222,1
12,119310,28049,Widowed,Unemployed,Rural,3815,194167,176195,1,17972,0
172,479889,14008,Divorced,Freelancer,Urban,6548,165823,194195,9,-28372,1
8,206196,324605,Widowed,Salaried,Rural,4650,52822,83352,9,-30530,1
155,451457,241160,Married,Unemployed,Urban,4469,484711,214522,1,270189,0
191,41547,54934,Widowed,Freelancer,Rural,3230,418190,77598,9,340592,0
161,127758,91047,Divorced,Business,Urban,3808,51485,140456,1,-88971,1
159,159261,356586,Single,Salaried,Urban,5626,228307,269898,8,-41591,1
118,264325,48891,Single,Unemployed,Urban,4679,453402,200851,3,252551,0
192,180069,282113,Widowed,Business,Rural,4134,212378,202874,2,9504,0
102,94557,186484,Married,Business,Urban,8344,405729,132464,3,273265,0
88,225980,288871,Divorced,Unemployed,Urban,7131,455904,136088,5,319816,0
179,15268,275692,Widowed,Business,Urban,929,91252,129402,7,-38150,1
73,211730,374046,Single,Freelancer,Rural,4476,114361,231136,9,-116775,1
193,169990,354009,Widowed,Business,Rural,2838,460553,19580,3,440973,0
131,313175,31885,Single,Unemployed,Rural,8673,434632,230536,1,204096,0
24,348740,360875,Widowed,Freelancer,Urban,3934,342599,17140,1,325459,0
79,287423,154038,Married,Unemployed,Urban,3526,191181,235792,3,-44611,1
62,479232,85773,Married,Freelancer,Urban,8691,31222,167435,1,-136213,1
39,268403,330814,Single,Business,Rural,1055,290432,147170,8,143262,0
107,233152,89820,Married,Unemployed,Rural,9518,379465,265630,0,113835,0
68,424717,390134,Widowed,Business,Urban,1775,317955,215826,7,102129,0
183,167852,215406,Single,Freelancer,Urban,5318,210618,115246,2,95372,0
150,41108,63489,Single,Salaried,Urban,296,136145,94923,1,41222,0
83,424040,371484,Single,Freelancer,Rural,6043,382941,179355,1,203586,0
130,392118,3383,Married,Business,Rural,9481,41000,50245,6,-9245,1
127,51578,69148,Married,Unemployed,Rural,3705,11353,273530,6,-262177,1
64,268623,24181,Divorced,Freelancer,Urban,5209,334221,178020,9,156201,0
125,68968,73257,Widowed,Unemployed,Urban,5752,135580,110001,4,25579,0
50,20039,187232,Divorced,Business,Urban,5335,481522,159119,7,322403,0
24,123112,174068,Single,Business,Rural,7361,280060,63783,0,216277,0
40,225075,242384,Widowed,Business,Rural,5905,208072,170107,4,37965,0
4,387383,134227,Married,Freelancer,Rural,5554,248612,69247,6,179365,0
191,303471,54440,Divorced,Salaried,Urban,7669,213499,159214,9,54285,0
133,253410,343719,Divorced,Unemployed,Rural,9614,105585,267916,2,-162331,1
75,34165,151471,Single,Salaried,Urban,1326,264185,265577,6,-1392,1
45,180974,228570,Widowed,Unemployed,Rural,8874,326515,114258,8,212257,0
150,401945,374945,Widowed,Salaried,Rural,6213,493717,275576,0,218141,0
109,415741,338605,Single,Freelancer,Rural,2819,362071,95687,5,266384,0
165,392244,338284,Married,Freelancer,Urban,7472,22754,291908,7,-269154,1
132,291623,62347,Widowed,Business,Urban,6107,234616,297355,6,-62739,1
60,450676,240734,Divorced,Salaried,Rural,5598,186147,12839,7,173308,0
129,250480,266482,Single,Freelancer,Rural,9996,296158,268412,9,27746,0
2,121759,107512,Divorced,Business,Urban,2329,130745,284998,4,-154253,1
134,456669,41254,Married,Unemployed,Rural,5765,81038,614,2,80424,0
89,150329,230968,Married,Business,Urban,8632,313734,172717,6,141017,0
177,169410,117807,Widowed,Unemployed,Rural,5109,353506,61718,2,291788,0
187,453254,353952,Divorced,Unemployed,Urban,7799,254554,167322,6,87232,0
